CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,FCLTY_NM,RPRSNTV_TEL_NO,ZIP_NO,FCLTY_ADDR,FCLTY_DETAIL_ADDR,MAIN_ITEM_CD,MAIN_ITEM_NM,FCLTY_CRDNT_LO,FCLTY_CRDNT_LA,COURSE_FLAG_CD,COURSE_ITEM_NM,COURSE_NM
"11","서울","11545","금천구","sbs당구장","0262923323","08614","서울특별시 금천구 시흥대로71길 44","3층sbs당구장(시흥동)","03","기타종목","126.8994473","37.4549954","장애인강좌",,
"11","서울","11350","노원구","굿볼스튜디오 노원점","029385949","01662","서울특별시 노원구 덕릉로 725","3층(중계동)","03","기타종목","127.0756239","37.6623290","장애인강좌",,
"11","서울","11560","영등포구","황룡체육관",,"07435","서울특별시 영등포구 대방천로 180","상가동203호(신길동, 우성2차아파트)","22","태권도","126.9109188","37.4981477","장애인강좌",,
"11","서울","11320","도봉구","필라테스온루케테80쌍문점",,"01385","서울특별시 도봉구 도당로 7","4층 필라테스온루케테80(쌍문동)","79","필라테스","127.0347916","37.6587894","장애인강좌",,
"11","서울","11740","강동구","필라테스엠 고덕역점","0234271777","05269","서울특별시 강동구 동남로75길 13-15","성은빌딩 4층(명일동)","79","필라테스","127.1555201","37.5536302","장애인강좌",,
"11","서울","11590","동작구","영아태권도","025973000","07030","서울특별시 동작구 사당로 170","2층 영아태권도(사당동)","22","태권도","126.9677289","37.4866404","장애인강좌",,
"11","서울","11290","성북구","성북체육관","029151506","02769","서울특별시 성북구 장월로8가길 42","3층(장위동)","22","태권도","127.0498160","37.6112669","장애인강좌",,
"11","서울","11530","구로구","(주)리본필라테스 구로신도림","0226338271","08213","서울특별시 구로구 경인로 572","4층 401호(구로동)","79","필라테스","126.8811111","37.5033033","장애인강좌",,
"11","서울","11500","강서구","(주) 스포니스마곡점","0226685988","07801","서울특별시 강서구 마곡중앙6로 11","지하1층 스포니스 마곡점(마곡동)","03","기타종목","126.8288424","37.5609480","장애인강좌",,
"11","서울","11590","동작구","MSF GYM","0220397499","06939","서울특별시 동작구 여의대방로 284","지하1층(대방동)","22","태권도","126.9253788","37.5118087","장애인강좌",,
"11","서울","11410","서대문구","커브스 가재울클럽","023071330","03791","서울특별시 서대문구 수색로 56","505호(북가좌동)","25","헬스","126.9123057","37.5708721","장애인강좌",,
"11","서울","11440","마포구","한국체대용무태권도장",,"04132","서울특별시 마포구 마포대로11길 46","2층 용무태권도장(공덕동)","22","태권도","126.9517142","37.5493989","장애인강좌",,
"11","서울","11740","강동구","코리아탁구체육관","024728500","05310","서울특별시 강동구 구천면로 304","5층 코리아탁구체육관(천호동)","21","탁구","127.1348298","37.5467197","장애인강좌",,
"11","서울","11560","영등포구","영등포제2스포츠센터","0226302921","07221","서울특별시 영등포구 국회대로 615","영등포제2스포츠센터(당산동4가)","25","헬스","126.9027816","37.5266954","장애인강좌",,
"11","서울","11410","서대문구","요가문서울 차오름 평생교육원","027027502","03789","서울특별시 서대문구 연세로5길 26-17","4층(창천동)","78","요가","126.9348022","37.5568212","장애인강좌",,
"11","서울","11110","종로구","필라테스마일",,"03074","서울특별시 종로구 성균관로 12","2층 필라테스마일(명륜2가)","79","필라테스","126.9981823","37.5839747","장애인강좌",,
"11","서울","11350","노원구","용인대백두산태권도","029356161","01745","서울특별시 노원구 한글비석로5길 62","8단지상가 2층 용인대백두산태권도(중계동, 중계8단지주공아파트)","22","태권도","127.0753590","37.6461889","장애인강좌",,
"11","서울","11110","종로구","홍핏","027478296","03041","서울특별시 종로구 사직로 119","목천빌딩(내자동)","25","헬스","126.9719072","37.5763111","장애인강좌",,
